sr_no,date,startup,industry,subvertical,city__location,investors,investment_type,amount,remarks,year
2600,2015-08-07,Lendingkart,Online Finance lending platform,,Ahmedabad,"Saama Capital, Mayfield, Ashvin Chadha, Shailesh Mehta",Private Equity,10000000.0,Series A,2015
2601,2015-08-07,Lybrate,Healthcare Mobile App,,New Delhi,"Tiger Global Management, Ratan Tata, Nexus Venture Partners",Private Equity,10200000.0,Series A,2015
2602,2015-08-07,Zoomcar,Self-driven vehicle rental,,Bangalore,"Sequoia Capital, Empire Angels, NGP",Private Equity,11000000.0,Series B,2015
2668,2015-01-06,Veeba Foods,Healthy Food Manufacturer,,New Delhi,"DSG Consumer Partners, Saama Capital.",Private Equity,6000000.0,Series B,2015
2669,2015-01-06,Truebil,Used Car Marketplace,,Mumbai,"Kae Capital, Anupam Mittal",Seed Funding,500000.0,,2015
2670,2015-01-06,Meritnation,Online Learning Platform,,New Delhi,InfoEdge,Private Equity,4000000.0,Series C,2015
2671,2015-01-06,Eattreatonline,Healthy Food Online Community,,New Delhi,Group of 15 Angel Investors,Seed Funding,350000.0,,2015
2673,2015-01-06,Glamrs,Online Fashion Video Portal,,Mumbai,"Ventureworks India, Blume Ventures, Batlivala & Karani Securities, Nikunj Jhaveri",Private Equity,1000000.0,Pre-Series A,2015
2674,2015-01-06,Proviera,Probiotic Technology Products Manufacturer,,Chennai,Infuse Ventures,Private Equity,550000.0,,2015
2675,2015-01-06,Arth DesignBuild,Architectural Design & Consulting,,Hyderabad,Srinivas Tirupati,Seed Funding,500000.0,,2015
2676,2015-02-06,Saama,Big Data & Analytics Services,,Pune / US,Carrick Capital Partners,Private Equity,35000000.0,Series A,2015
2677,2015-02-06,AllIzHealth,Preventive Healthcare Services,,Pune,Mumbai Angels & Other angel investors,Seed Funding,350000.0,,2015
2680,2015-03-06,Propstack,Real Estate Intelligence Platform,,Mumbai,DMG Information,Private Equity,3000000.0,Series A,2015
2681,2015-03-06,MyTaxiIndia,Online Car Rental Affiliates,,New Delhi,Green House Ventures,Seed Funding,100000.0,,2015
2682,2015-03-06,Arkin Net,Data Center Software platform,,Pune / US,Nexus Venture Partners,Private Equity,15000000.0,Series B,2015
2683,2015-03-06,Little Black Book Delhi,Online City & Lifestyle Guide,,New Delhi,"Rajan Anandan, Niraj Singh, Sachin Bhatia, Singapore Angel Network & Aseem Vadehra",Seed Funding,150000.0,,2015
2685,2015-03-06,iCustomadeit,Bespoke Merchandize Marketplace,,Pune,"Virendra Shahney, Dr Paresh Doshi",Seed Funding,250000.0,,2015
2687,2015-04-06,Ecom Express,Logistics Solution Provider,,New Delhi,Warburg Pincus,Private Equity,137000000.0,Series C,2015
2688,2015-04-06,Vidooly,Video Intelligence Platform,,Noida,Bessemer Venture Partners,Private Equity,1000000.0,Pre-Series A,2015
2689,2015-04-06,Zopper,Hyperlocal Shopping App,,Mumbai,"Tiger Global,\\xc2\\xa0 Nirvana Ventures Advisors",Private Equity,20000000.0,Series C,2015
2690,2015-04-06,Flipkart,eCommerce platform,,Bangalore,Morgan Stanley,Private Equity,50000000.0,Late Stage,2015
2691,2015-05-06,kWatt Solutions,Renewable energy solutions,,Mumbai,Unknown,Seed Funding,500000.0,,2015
2692,2015-05-06,Medwell Ventures,Healthcare\\nService provider,,Bangalore,"Fidelity Growth Partners, Fidelity Biosciences",Private Equity,10000000.0,Series A,2015
2693,2015-05-06,Jugnoo,Auto Rickshaw Based Services,,Chandigarh,"Snow Leopard, Paytm",Private Equity,5000000.0,Series A,2015
2695,2015-08-06,Applied Solar Technologies,Off-grid Solar Power,,Mumbai,"Future Fund,Bessemer Venture, Capricorn Investment and IFC",Private Equity,40000000.0,Series B,2015
2696,2015-09-06,Clovia,Private Label lingerie Ecommerce,,New Delhi,IvyCap Ventures,Private Equity,5000000.0,Series A,2015
2697,2015-09-06,Swiggy,Online Food Ordering,,Bangalore,"Norwest Venture Partners, SAIF Partners, Accel Partners",Private Equity,16500000.0,Series B,2015
2698,2015-09-06,PayMango,Mobile Commerce Platform,,Gurgaon,Group of Angel Investors,Seed Funding,234000.0,,2015
2700,2015-09-06,Teritree,Digital Marketing Services,,Bangalore,KCL,Seed Funding,140000.0,,2015
2702,2015-10-06,Voonik,Fashion Ecommerce store,,Bangalore,"Sequoia Capital, Seedfund",Private Equity,5000000.0,Series A,2015
2703,2015-11-06,AdStringO,Mobile Compression Software,,Mumbai,"Arihant Patni, Vishal Khare,\\xc2\\xa0 Viswanath Ramachandran",Seed Funding,350000.0,,2015
2704,2015-11-06,Faircent.com,Peer to Peer Lending platform,,Gurgaon,M&S Partners Pte. Ltd,Seed Funding,250000.0,Pre-Series A,2015
2705,2015-12-06,La Renon,Global Healthcare products,,Ahmedabad,Sequoia Capital,Private Equity,16000000.0,Series A,2015
2753,2015-01-05,Foodpanda,Online Food Delivery,,Gurgaon,"Goldman Sachs, Rocket Internet",Private Equity,100000000.0,Series D,2015
2754,2015-01-05,Termsheet,Fund Raising Platform,,Chennai,"Anand Vijay, Nipun Dureja, Satyajit Heeralal, Keith Rodricks, Gaurav Lochan, Azmul Haque, Nikhil Bagri",Seed Funding,100000.0,,2015
2755,2015-04-05,Applicate,Workforce Management Software,,Bangalore,"Rishi Vasudev, Amit Gupta, Rajiv Nayan",Seed Funding,550000.0,,2015
2756,2015-04-05,World Art Community,Online Art Marketplace,,Gurgaon,Viraj Tyagi & others,Seed Funding,200000.0,,2015
2757,2015-04-05,SpoonJoy,Online Food Delivery,,Bangalore,SAIF Partners,Seed Funding,1000000.0,,2015
2758,2015-05-05,Seed Schools,Affordable Education,,Hyderabad,Acumen Fund,Seed Funding,650000.0,,2015
2759,2015-05-05,Ignis Careers,Career Development,,Hyderabad,Acumen Fund,Seed Funding,250000.0,,2015
2760,2015-05-05,Square Yards,Real Estate Advisory,,Gurgaon,Undisclosed Investors,Private Equity,6000000.0,pre-Series A,2015
2761,2015-05-05,Fintellix,Banking Analytics Platform,,Bangalore,"IDG Ventures, Sequoia Capital",Private Equity,15000000.0,Series C,2015
2763,2015-06-05,Delhivery,Ecommerce Logistics,,Gurgaon,"Tiger Global Management, Multiples Alternate Asset Management, Nexus Venture Partners, Times Internet",Private Equity,85000000.0,Series D,2015
2764,2015-06-05,Swiggy,Online Food Delivery,,Bangalore,Norwest Venture Partners,Private Equity,15000000.0,Series B,2015
2766,2015-07-05,Box8,Online Food Delivery,,Mumbai,Mayfield Ventures,Private Equity,3500000.0,Series A,2015
2767,2015-07-05,Toppr,Online Education Platform,,Mumbai,"Fidelity Growth Partners India, SAIF Partners,\\xc2\\xa0 Helion Ventures",Private Equity,10000000.0,Series B,2015
2768,2015-07-05,Vedantu,Online Education Platform,,Bangalore,"Accel Partners, Tiger Global Management",Private Equity,5000000.0,Series A,2015
2769,2015-08-05,BuyHatke,Online Product Comparison,,Bangalore,"S.Gopalakrishnan, Beenos",Seed Funding,1000000.0,,2015
2771,2015-08-05,Uniken,Online Security Platform,,Pune,Exfinity Ventures,Private Equity,2000000.0,Bridge Round Pre-Series B,2015
2772,2015-08-05,GrandOpinion,Online Medical Diagnostic,,New Delhi,Florida based Angel investor,Seed Funding,150000.0,,2015
2774,2015-12-05,ZapStitch,Cloud Data Integration Platform,,Bangalore,"Helion Venture Partners, Orios Venture Partners",Private Equity,2000000.0,Pre-Series A,2015
2775,2015-12-05,Wassup,Mobile Laundry Cleaning Service,,Chennai,"Arun Chandra Mohan, Praveen Sinha",Private Equity,2000000.0,Pre-Series A,2015
2811,2015-03-04,Swiggy,Online Food Delivery,,Bangalore,"Accel Partners, SAIF Partners",Private Equity,2000000.0,Series A,2015
2812,2015-04-04,Bluegape,Web Content Publishing,,Gurgaon,"Rudy Gopalakrishnan, ah! Ventures",Seed Funding,200000.0,,2015
2813,2015-04-04,KeepTrax,Location Based App,,Dallas / Hyderabad,Unknown,Seed Funding,1000000.0,,2015
2814,2015-06-04,InstaLively,Video Streaming,,New Delhi,"Rajesh Sawheny , Rajan Anandan, Amit Ranjan, Niraj Singh, AECAL, MeraEvents.",Seed Funding,120000.0,,2015
2815,2015-07-04,Pricejugaad,Price Comparison,,Hyderabad,"Amit Tyagi, Sandeep Acharya & others",Seed Funding,165000.0,,2015
2816,2015-07-04,Quikr,Online Classifieds,,Mumbai,"Tiger Global, Investment AB Kinnevik, Steadview Capital",Private Equity,150000000.0,Series G (Check prev funding details here),2015
2817,2015-07-04,PressPlay,Travel Entertainment,,New Delhi,"Sequoia Capital, Jason Hirschhorn, Jarett Posner, and Amit Bhatiani",Seed Funding,2200000.0,,2015
2819,2015-08-04,FirstCry.com,eCommerce,,Pune,"Silicon Valley Ventures, NEA Ventures, Valiant Capital, IDG Ventures India,\\xc2\\xa0 SAIF Partners, Vertex Ventures",Private Equity,10000000.0,"Series D ( In Feb it was announced they raised 26M, but it is 36M, so added here)",2015
2820,2015-08-04,MobiKwik,Digital / Mobile Wallet,,Gurgaon,"Tree Line Asia, Cisco Investments, American Express, Sequoia Capital",Private Equity,25000000.0,Series B,2015
2821,2015-08-04,Olacabs,Cab Aggregator,,Bangalore,"DST Global, Steadview Capital, Tiger Global, Accel Partners & Others",Private Equity,400000000.0,Series E (Updated from 315M to 400M after Press Release),2015
2822,2015-09-04,Gadgetwood,Device Repair Svcs,,New Delhi,"Ajai Chowdhry, Ashvin Chadha, Yogesh Bansal,\\nNitin Singhal & Others",Seed Funding,200000.0,,2015
2823,2015-09-04,Bonhomia,Premium Beverages,,New Delhi,"Kanwaljit Singh, Shripad Nadkarni, Sarvesh Shahra & Others",Seed Funding,2000000.0,,2015
2824,2015-09-04,Changer Mints,Digital / Mobile Wallet,,Kolkata,Hyderabad based investor,Seed Funding,165000.0,,2015
2825,2015-09-04,Urban Ladder,Online Furnishing\\neCommerce,,Bangalore,"Sequoia Capital, TR Capital, Steadview Capital, SAIF Partners, Kalaari Capital",Private Equity,50000000.0,Series C,2015
2827,2015-10-04,Whatfix,Interactive\\xc2\\xa0 How-To Guides,,Bangalore,"Helion Venture Partner, Powerhouse Ventures, GSF and Other angel investors",Seed Funding,900000.0,,2015
2829,2015-11-04,Zomato,Restaurant Reviews,,Gurgaon,Info Edge (India),Private Equity,25000000.0,Late Stage,2015
2874,2015-02-03,TrulyMadly.com,Unknown,,,"Helion Venture Partners, Kae Capital",Private Equity,5500000.0,Series A,2015
2875,2015-02-03,InstaLively,Unknown,,,Group of Angel Investors,Seed Funding,120000.0,,2015
2876,2015-03-03,Vserv,Unknown,,,"Maverick Capital, IDG Ventures India",Private Equity,15000000.0,,2015
2878,2015-05-03,Niffler,Unknown,,,SAIF Partners,Seed Funding,1000000.0,,2015
2879,2015-05-03,CustomFurnish.com,Unknown,,,"Madhukar Gangadi, Satish Reddy, Srini Raju, Srini Koppolu & SIDBI",Private Equity,2500000.0,,2015
2880,2015-06-03,MapMyGenome,Unknown,,,Rajan Anandan & other angel investors,Private Equity,1200000.0,,2015
2881,2015-09-03,Crowdfire (formerly Justunfollow),Unknown,,,Kalaari Capital,Private Equity,2500000.0,,2015
2882,2015-09-03,Bite Club,Unknown,,,"Powai Lake Ventures, Aneesh Reddy, Ashish Kashyap, Alok Mittal",Seed Funding,500000.0,,2015
2884,2015-11-03,Appedo,Unknown,,,Undisclosed Investors,Seed Funding,1000000.0,,2015
2885,2015-11-03,Fitraq.com,Unknown,,,Tarun Arora,Seed Funding,150000.0,,2015
2886,2015-11-03,ChargeBee,Unknown,,,"Tiger Global, Accel Partners",Private Equity,5000000.0,Series B,2015
2887,2015-11-03,Groupon India,Unknown,,,Sequoia Capital,Private Equity,20000000.0,,2015
2889,2015-12-03,MoonFrog Labs,Unknown,,,"Tiger Global, Sequoia Capital.",Private Equity,15000000.0,Series A,2015
2934,2015-02-02,Faaya,Unknown,,,Group of Angel Investors,Seed\\nFunding,16600.0,At the 10 minute million event,2015
2935,2015-02-02,InstaBounce,Unknown,,,Group of Angel Investors,Seed\\nFunding,16600.0,At the 10 minute million event,2015
2936,2015-02-02,Chloroplast Foods,Unknown,,,Group of Angel Investors,Seed\\nFunding,16600.0,At the 10 minute million event,2015
2937,2015-02-02,Dealwithus,Unknown,,,Group of Angel Investors,Seed\\nFunding,16600.0,At the 10 minute million event,2015
2938,2015-02-02,CleverSharks,Unknown,,,Group of Angel Investors,Seed\\nFunding,16600.0,At the 10 minute million event,2015
2939,2015-02-02,Leaf,Unknown,,,Group of Angel Investors,Seed\\nFunding,16600.0,At the 10 minute million event,2015
2940,2015-02-02,SmartPocket,Unknown,,,"Sol Primero, Rajiv Mehta",Seed\\nFunding,250000.0,For mobile app,2015
2941,2015-02-02,Yumist,Unknown,,,Orios Venture Partner,Private Equity,1000000.0,,2015
2943,2015-02-02,FirstCry,Unknown,,,Valiant Capital Partners,Private Equity,26000000.0,Series D,2015
2944,2015-02-02,HolaChef,Unknown,,,India Quotient,Seed\\nFunding,325000.0,,2015
2945,2015-03-02,Frsh.co.in,Unknown,,,"India Quotient, Kae Capital",Seed\\nFunding,518000.0,,2015
2946,2015-03-02,Manthan,Unknown,,,"Temasek, Norwest Venture Partners",Private Equity,60000000.0,Series D,2015
2948,2015-05-02,Culture Machine,Unknown,,,"Tiger Global, Times Internet, Zodius Capital",Private Equity,18000000.0,Series B,2015
2950,2015-05-02,Aisle.co,Unknown,,,"Anand Vijay, Shashank Mehrotra & Others",Seed\\nFunding,100000.0,,2015
2951,2015-06-02,FreeCharge,Unknown,,,"Valiant Capital, Tybourne Capital, Sequoia Capital, RuNet and Sofina",Private Equity,80000000.0,Series C,2015
2952,2015-06-02,NewsHunt,Unknown,,,"Falcon Edge Capital, Matrix Partners India, Sequoia Capital India and Omidyar Network",Private Equity,40000000.0,Series C,2015
2953,2015-09-02,MyNoticePeriod,Unknown,,,IDG Ventures,Private Equity,3000000.0,Series A,2015
2955,2015-09-02,Faaso\\xe2\\x80\\x99s,Unknown,,,Lightbox Ventures,Private Equity,20000000.0,Series B,2015
2958,2015-11-02,Capital Float,Unknown,,,"SAIF Partners, Sequoia Capital, Aspada",Private Equity,13000000.0,Series A,2015
2959,2015-11-02,Nimble Wireless,Unknown,,,AngelPrime,Seed\\nFunding,3000000.0,,2015
2962,2015-12-02,Stayzilla,Unknown,,,"Nexus Venture Partners, Matrix Partners",Private Equity,20000000.0,Series B,2015
2963,2015-12-02,Practo,Unknown,,,"Sequoia Capital, Matrix Partners",Private Equity,30000000.0,Series B,2015
2990,2015-02-01,LensKart,Unknown,,,"TPG Growth, TR Capital, IDG Ventures",Private Equity,2150000.0,,2015
2991,2015-02-01,VioletStreet,Unknown,,,"Venkat Vallabhneni, Sudhakar Reddy, Srinivasa Rao Paturi",Seed\\nFunding,315000.0,,2015
2992,2015-05-01,Lookup,Unknown,,,"DeNA Co., Japan & Teruhide Sato (in Addition to MKS Switzerland & Kris GopalKrishnan)",Seed\\nFunding,380000.0,,2015
2993,2015-05-01,#Fame,Unknown,,,TO THE NEW Ventures,Private Equity,10000000.0,,2015
2994,2015-05-01,Gympik,Unknown,,,"Tom Clausen, Rohan Ajila, Haldyn Glass",Seed Funding,135000.0,,2015
2995,2015-06-01,Near.in,Unknown,,,"Anupam Mittal, Manish Vij, Prashant Tandon, Gaurav Agarwal, Akash Agarwal, Himanshu Aggarwal, Kevin Parikh",Seed Funding,285000.0,,2015
2997,2015-06-01,NumberMall,Unknown,,,SRI Capital,Private Equity,10000000.0,,2015
2998,2015-06-01,Tookitaki,Unknown,,,"Jungle Ventures, Redbright Partners, Blume Ventures",Private\\nEquity,1000000.0,,2015
2999,2015-06-01,Frankly,Unknown,,,Matrix Partners,Seed Funding,600000.0,,2015
3001,2015-07-01,Nurturey,Unknown,,,Seedrs Crowd funding platform,Crowd funding,125000.0,,2015
3003,2015-07-01,Stridalyzer,Unknown,,,Kickstarter,Crowd Funding,30768.0,,2015
3004,2015-07-01,Commonfloor,Unknown,,,Google Capital,Private Equity,5000000.0,3rd Round,2015
3006,2015-09-01,YepMe,Unknown,,,"JS Capital, Helion Venture Partners, Capricorn Investment Group",Private Equity,13000000.0,Series A,2015
3009,2015-12-01,MyDreamStore,Unknown,,,Undisclosed Investors,Seed Funding,290000.0,,2015
